Sample_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,
ACH-001020,BT-16,BT16,BT16_SOFT_TISSUE,,,Male,Academic lab,2,-2.03163834210024,not found,not found,47.7,CVCL_M156,,soft_tissue,,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT),2,,,soft_tissue,ATRT,,,
ACH-000454,HCC-95,HCC95,HCC95_LUNG,,,Male,KCLB,2,-2.9853454526684,,RPMI + 10% FBS + 2 mM Glutamine,86.7,CVCL_5137,,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",65,,,lung,NSCLC,NSCLC_squamous,,
ACH-000732,PE/CA-PJ41 (clone D2),PECAPJ41CLONED2,PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,,,Female,ECACC,2,-2.7210468324376,Adherent,IMDM + 10% FBS + Glutamax,86,CVCL_2680,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",67,,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,
ACH-001603,NH-12,NH12,NH12_AUTONOMIC_GANGLIA,,908447,Male,JCRB,,,,,,CVCL_1605,1546,autonomic_ganglia,Primary,Neuroblastoma,,1,SIDM00577,,peripheral_nervous_system,neuroblastoma,,,
ACH-001172,,R256,R256_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2,-5.38353328183357,not found,not found,79,,,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,central_nervous_system,medulloblastoma,,,
ACH-001650,SISO,SISO,SISO_CERVIX,,1240212,Female,DSMZ,3,-4.46488315065838,Adherent,RPMI 1640 + 10% FBS,90.6,CVCL_2193,1498,cervix,Primary,Cervical Cancer,Cervical Adenocarcinoma,67,SIDM00394,,cervix,cervical_adenocarcinoma,,,
ACH-000232,U-251 MG,U251MG,U251MG_CENTRAL_NERVOUS_SYSTEM,U251-MG,905983,Male,HSRRB,2,-4.27790455251903,,DMEM + 10% FBS,88.7,CVCL_0021,1913,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM00111,,central_nervous_system,glioma,astrocytoma,,
ACH-000592,TM-31,TM31,TM31_CENTRAL_NERVOUS_SYSTEM,,,Female,RIKEN,2,-4.14953508606798,,EMEM + 10% FBS,85.7,CVCL_6735,,central_nervous_system,,Brain Cancer,Glioma,42,,,central_nervous_system,glioma,,,
ACH-000937,PF-382,PF382,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909260,Female,DSMZ,2,-4.07380560870559,,RPMI + 10% FBS,71.2,CVCL_1641,1043,pleural_effusion,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",6,SIDM00451,,blood,ALL,t_cell,,
ACH-000934,MDA-MB-361,MDAMB361,MDAMB361_BREAST,,908121,Female,ATCC,,,,,,CVCL_0620,880,central_nervous_system,Metastasis,Breast Cancer,Carcinoma,40,SIDM00528,,breast,breast_carcinoma,ERpos_HER2pos,HER2_amp,
ACH-000133,Hs 729,HS729,HS729_SOFT_TISSUE,,,Male,ATCC,2,-4.42644442063,Adherent,DMEM + 5% FBS,72,CVCL_0871,,fibroblast,Primary,Fibroblast,Soft tissue,74,,,fibroblast,fibroblast_soft_tissue,,,
ACH-001458,C75,C75,C75_LARGE_INTESTINE,,,Male,ECACC,2,-2.29630840309971,Adherent,IMDM + 10% FBS + 2 mM Glutamine,42.9,CVCL_5248,,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,56,,,colorectal,colorectal_adenocarcinoma,,,
ACH-000764,SH-10-TC,SH10TC,SH10TC_STOMACH,,,Unknown,RIKEN,2,-2.83075561107001,Adherent,RPMI + 10% FBS,70.9,CVCL_5167,,stomach,Primary,Gastric Cancer,"Adenocarcinoma, mucinous",,,,gastric,gastric_adenocarcinoma,mucinous,,
ACH-000614,RVH-421,RVH421,RVH421_SKIN,,909706,Male,DSMZ,2,-3.1493934016006,Adherent,RPMI + 10% FBS,51.8,CVCL_1672,1274,central_nervous_system,Metastasis,Skin Cancer,Melanoma,28,SIDM00401,,skin,melanoma,,,
ACH-000099,SIMA,SIMA,SIMA_AUTONOMIC_GANGLIA,,753620,Male,DSMZ,3,-3.24321312056426,,RPMI + 10% FBS,59,CVCL_1695,2076,autonomic_ganglia,,Neuroblastoma,,1.67,SIDM00395,,peripheral_nervous_system,neuroblastoma,,,
ACH-000905,5637,5637,5637_URINARY_TRACT,,687452,Male,ATCC,2,-4.05355721754715,Adherent,RPMI + 10% FBS,95.1,CVCL_0126,1157,urinary_tract,,Bladder Cancer,,68,SIDM00807,,urinary_tract,bladder_carcinoma,,,
ACH-000470,SW1463,SW1463,SW1463_LARGE_INTESTINE,,909748,Female,ATCC,3,-3.52014021678689,Adherent,RPMI + 10% FBS,78.6,CVCL_1718,271,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,66,SIDM00834,,colorectal,colorectal_adenocarcinoma,,,
ACH-000490,SF767,SF767,SF767_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,2,-5.09689103289989,not found,not found,91.8,CVCL_6950,,stomach,Metastasis,Brain Cancer,Astrocytoma,,SIDM00626,,central_nervous_system,glioma,astrocytoma,,
ACH-001164,CCLF_PEDS_0003_T,CCLFPEDS0003T,CCLFPEDS0003T_SOFT_TISSUE,,,Unknown,Cancer Cell Line Factory,2,-2.790578773006,not found,not found,39,,,soft_tissue,,Sarcoma,Undifferentiated,,,,soft_tissue,undifferentiated_sarcoma,,,
ACH-000153,NCI-H2052,NCIH2052,NCIH2052_PLEURA,,688058,Male,ATCC,1,-2.70454370377101,Adherent,RPMI + 10% FBS,69.5,CVCL_1518,1485,pleural_effusion,Metastasis,Lung Cancer,Mesothelioma,65,SIDM00713,,lung,mesothelioma,,,
ACH-000899,WM-88,WM88,WM88_SKIN,,,Male,Academic lab,1,-2.74944462438759,Adherent,RPMI + 10% FBS,47.9,CVCL_6805,,skin,Metastasis,Skin Cancer,Melanoma,,,,skin,melanoma,,,
ACH-000491,NCI-H716,NCIH716,NCIH716_LARGE_INTESTINE,,908458,Male,ATCC,3,-2.70809097264948,Adherent,RPMI + 10% FBS,92,CVCL_1581,649,ascites,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,33,SIDM00779,,colorectal,colorectal_adenocarcinoma,,,
ACH-001554,mel-202,MEL202,MEL202_UVEA,,,Female,ECACC,2,-4.74900713807442,Adherent,RPMI 1640 + 10% FBS + 2mM Glutamine,73.2,CVCL_C301,,uvea,Primary,Eye Cancer,Uveal Melanoma,,,,eye,uveal_melanoma,,,
ACH-000352,HCC1428,HCC1428,HCC1428_BREAST,,1290905,Female,ATCC,2,-4.71185972910896,Adherent,RPMI + 10% FBS,92.5,CVCL_1252,1567,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,49,SIDM00881,,breast,breast_carcinoma,ERpos_HER2neg,luminal,
ACH-000522,UM-UC-3,UMUC3,UMUC3_URINARY_TRACT,,724838,Male,ATCC,2,-5.12986232383808,Adherent,EMEM + 10% FBS,88.3,CVCL_1783,9,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,,SIDM01182,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,
ACH-001067,F5,F5,F5_CENTRAL_NERVOUS_SYSTEM,,,Male,Academic lab,2,-3.37724528332938,not found,not found,55.3,CVCL_V616,,central_nervous_system,,Brain Cancer,Meningioma,,,,central_nervous_system,meningioma,,,
ACH-000176,LOU-NH91,LOUNH91,LOUNH91_LUNG,,1298226,Female,DSMZ,,,,,,CVCL_2104,1506,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",64,SIDM00341,,lung,NSCLC,NSCLC_squamous,,
ACH-001134,MYLA,MYLA,MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Unknown,Academic lab,2,-3.91571385311995,not found,not found,89.3,,,haematopoietic_and_lymphoid_tissue,,Lymphoma,T-cell,,,,lymphocyte,lymphoma_unspecified,t_cell,,
ACH-000320,PSN1,PSN1,PSN1_PANCREAS,GR-M,910546,Male,ECACC,4,-2.32716645380121,Adherent,RPMI + 10% FBS + 2mM Glutamine,78.9,CVCL_1644,560,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",,SIDM00469,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000476,JHH-4,JHH4,JHH4_LIVER,,1240158,Male,HSRRB,2,-3.60918937482558,,EMEM + 10% FBS,54.4,CVCL_2787,931,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,51,SIDM00616,,liver,hepatocellular_carcinoma,,,
ACH-000655,SF268,SF268,SF268_CENTRAL_NERVOUS_SYSTEM,,905986,Female,Academic lab,2,-4.30813499008878,Mixed adherent and suspension,RPMI + 5% FBS,52.6,CVCL_1689,1490,central_nervous_system,Primary,Brain Cancer,Glioma,,SIDM00085,,central_nervous_system,glioma,,,
ACH-000663,OVTOKO,OVTOKO,OVTOKO_OVARY,,1298365,Female,HSRRB,2,-3.33660642356994,Adherent,RPMI + 10% FBS,57.1,CVCL_3117,1095,spleen,Metastasis,Ovarian Cancer,"Adenocarcinoma, clear cell",78,SIDM00425,,ovary,ovary_adenocarcinoma,clear_cell,,
ACH-000238,SCC-4,SCC4,SCC4_UPPER_AERODIGESTIVE_TRACT,,910904,Male,ATCC,2,-4.34643494392699,Adherent,DMEM:F12 (1:1) + 10% FBS + 0.4ug/ml Hydrocortisone,81.6,CVCL_1684,1476,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",55,SIDM01081,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,
ACH-000839,SCaBER,SCABER,SCABER_URINARY_TRACT,,,Male,ATCC,2,-3.2439995811254,Adherent,EMEM + 10% FBS + 2mM L-glutamine + 0.1mM Sodium pyruvate + 0.1mM NEAA,54,CVCL_3599,,urinary_tract,Primary,Bladder Cancer,Squamous Cell Carcinoma,58,SIDM00032,,urinary_tract,bladder_carcinoma,bladder_squamous,,
ACH-000796,MCAS,MCAS,MCAS_OVARY,,,Female,HSRRB,2,-4.24131804072976,Adherent,EMEM + 15% FBS,90.2,CVCL_3020,,ovary,Primary,Ovarian Cancer,"Cystadenocarcinoma, mucinous",,SIDM00008,,ovary,ovary_adenocarcinoma,mucinous,,
ACH-000244,DK-MG,DKMG,DKMG_CENTRAL_NERVOUS_SYSTEM,,906839,Female,DSMZ,2,-2.13292873241004,Adherent,RPMI + 10% FBS + 2mM Glutamine,50.4,CVCL_1173,1386,central_nervous_system,Primary,Brain Cancer,Glioblastoma,67,SIDM00947,,central_nervous_system,glioma,glioblastoma,,
ACH-000499,EW8,EW8,EW8_BONE,,,Male,Academic lab,2,-2.87273112358389,not found,not found,56.8,CVCL_V618,,bone,,Bone Cancer,Ewings Sarcoma,,,,bone,Ewing_sarcoma,,EWS_FLI,
ACH-000227,KP-N-YN,KPNYN,KPNYN_AUTONOMIC_GANGLIA,,907314,Male,HSRRB,3,-1.67159181833404,Mixed adherent and suspension,RPMI + 10% FBS,52.9,CVCL_1341,1977,lymph_node,Metastasis,Neuroblastoma,,2,SIDM00556,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,
ACH-000600,SLR 26,SLR26,SLR26_KIDNEY,,,Unknown,Academic lab,2,-3.36962982719912,not found,not found,83.4,CVCL_V612,,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,,,kidney,renal_cell_carcinoma,,,
ACH-000932,SNU-1,SNU1,SNU1_STOMACH,,908444,Male,ATCC,2,-4.35609684303722,,RPMI + 10% FBS,85.4,CVCL_0099,564,stomach,Metastasis,Gastric Cancer,Adenocarcinoma,44,SIDM01146,,gastric,gastric_adenocarcinoma,,,
ACH-001570,MM426,MM426,MM426_SKIN,,,Male,Sigma-Aldrich,2,-4.0979163475214,Adherent,RPMI 1640 + 10% FBS (with 2 mM L-Glutamine + 25 mM HEPES),55.5,CVCL_2609,,lymph_node,Metastasis,Skin Cancer,Melanoma,,,,skin,melanoma,,,
ACH-000507,KE-39,KE39,KE39_STOMACH,,,Male,RIKEN,2,-4.18402508151442,Adherent,RPMI + 10% FBS,70,CVCL_3385,,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,77,,,gastric,gastric_adenocarcinoma,,,
ACH-000633,FU97,FU97,FU97_STOMACH,,1290806,Female,HSRRB,2,-3.50220946306429,,DMEM + 10% FBS + 0.01mg/ml Insulin,68.8,CVCL_2908,2062,stomach,Primary,Gastric Cancer,Adenocarcinoma,66,SIDM00503,,gastric,gastric_adenocarcinoma,diffuse_gastric,,
ACH-000496,NCI-H1792,NCIH1792,NCIH1792_LUNG,,724868,Male,ATCC,4,-4.26745323397563,Adherent,RPMI + 10% FBS,85.7,CVCL_1495,2122,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",50,SIDM00771,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000304,WM-115,WM115,WM115_SKIN,,909784,Female,ATCC,2,-2.36870524776163,Adherent,EMEM + 10% FBS,48.3,CVCL_0040,1000,skin,Metastasis,Skin Cancer,Melanoma,59,SIDM01000,,skin,melanoma,,,
ACH-000367,NCI-H226,NCIH226,NCIH226_LUNG,,905941,Male,ATCC,,,,,,CVCL_1544,1221,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM00139,,lung,NSCLC,NSCLC_squamous,,
ACH-000370,SNU-626,SNU626,SNU626_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,1,-1.60353438547989,,RPMI + 10% FBS,54.4,CVCL_5080,,central_nervous_system,,Brain Cancer,Glioblastoma,65,,,central_nervous_system,glioma,glioblastoma,,
ACH-001556,Mero-25,MERO25,MERO25_PLEURA,,,Male,Sigma-Aldrich,2,-3.27482100115162,Adherent,Ham's F10 + 15% FBS + 2mM Glutamine,93.2,CVCL_2591,,pleural_effusion,Primary,Lung Cancer,Mesothelioma,60,,,lung,mesothelioma,,,
ACH-000048,TOV-112D,TOV112D,TOV112D_OVARY,,1299070,Female,ATCC,2,-3.09079412709297,Adherent,MCDB 105:Medium 199 (1:1) + 15% FBS + 1.5g/l Sodium bicarbonate,47.6,CVCL_3612,5,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",42,SIDM01170,,ovary,ovary_adenocarcinoma,endometrioid,,
ACH-001096,JR,JR,JR_SOFT_TISSUE,JR-1,,Unknown,Academic lab,2,-3.53837906715311,Adherent,RPMI + 10% FBS,47.6,CVCL_RT33,,soft_tissue,,Sarcoma,Rhabdomyosarcoma,,,,soft_tissue,rhabdomyosarcoma,,,
ACH-001184,SCMC-RM2,SCMCRM2,SCMCRM2_SOFT_TISSUE,,,Female,Academic lab,2,-2.86936338326363,Adherent,DMEM + 10% FBS,53.8,CVCL_A667,,bone_marrow,Metastasis,Sarcoma,Rhabdomyosarcoma,11,,,soft_tissue,rhabdomyosarcoma,,PAX3_FKHR,
ACH-000437,SW 1088,SW1088,SW1088_CENTRAL_NERVOUS_SYSTEM,,909745,Male,ATCC,2,-4.83565394024403,Adherent,RPMI + 10% FBS,75.1,CVCL_1715,1310,central_nervous_system,Primary,Brain Cancer,Astrocytoma,72,SIDM01155,,central_nervous_system,glioma,astrocytoma,,
ACH-000583,MC116,MC116,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907799,Male,ATCC,2,-2.53031690271619,Suspension,RPMI + 20% FBS,49.9,CVCL_1399,2082,pleural_effusion,,Lymphoma,"B-cell, Non-Hodgkins",,SIDM00637,,lymphocyte,non_hodgkin_lymphoma,b_cell,,
ACH-000656,SU-DHL-8,SUDHL8,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331038,Male,DSMZ,,,,,,CVCL_2207,1877,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),59,SIDM00423,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,
ACH-001336,Ca Ski,CASKI,CASKI_CERVIX,,906824,Female,ATCC,3,-4.21275568688826,Adherent,RPMI 1640 + 10% FBS,69.1,CVCL_1100,1767,small_intestine,Metastasis,Cervical Cancer,Squamous Cell Carcinoma,40,SIDM00923,,cervix,cervical_squamous,,,
ACH-000005,HEL 92.1.7,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,2,-2.4044091731814,Suspension,RPMI + 10% FBS,86.6,CVCL_2481,,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00593,,blood,AML,M6,,
ACH-000782,SEM,SEM,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,DSMZ,2,-2.65454206182989,Suspension,IMDM + 10% FBS,74.6,CVCL_0095,,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",5,,,blood,ALL,b_cell,,
ACH-001692,UPCI-SCC-040,UPCISCC040,UPCISCC040_UPPER_AERODIGESTIVE_TRACT,,,Male,DSMZ,2,-4.72192001734762,Adherent,MEM (with Earle's salts) + 10-20% FBS + 2 mM L-glutamine + non-essential amino acids,94.6,,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,Squamous Cell Carcinoma,50,,,upper_aerodigestive,upper_aerodigestive_squamous,,,
ACH-000152,M059K,M059K,M059K_CENTRAL_NERVOUS_SYSTEM,,,Male,ATCC,2,-4.57867314547877,Adherent,DMEM:F12 (1:1) + 10% FBS,74.5,CVCL_0401,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,33,SIDM00639,,central_nervous_system,glioma,glioblastoma,,
ACH-000040,U-118 MG,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,,687588,Male,ATCC,2,-3.78550201590484,Adherent,DMEM + 10% FBS,69.1,CVCL_0633,7,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM01193,,central_nervous_system,glioma,astrocytoma,,
ACH-000181,SCC-9,SCC9,SCC9_UPPER_AERODIGESTIVE_TRACT,,909709,Male,ATCC,,,,,,CVCL_1685,2054,upper_aerodigestive_tract,Primary,Head and Neck Cancer,Squamous Cell Carcinoma,25,SIDM01080,,upper_aerodigestive,upper_aerodigestive_squamous,,,
ACH-000956,22Rv1,22RV1,22RV1_PROSTATE,22-RV1,924100,Male,ATCC,,,,,,CVCL_1045,1027,prostate,Primary,Prostate Cancer,Adenocarcinoma,,SIDM00499,,prostate,prostate_adenocarcinoma,,,
ACH-000021,NCI-H1693,NCIH1693,NCIH1693_LUNG,,687802,Female,ATCC,4,-3.65051345418105,Adherent,RPMI + 10% FBS,85.9,CVCL_1488,634,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",55,SIDM00742,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000921,NCI-H1339,NCIH1339,NCIH1339_LUNG,,,Female,ATCC,2,-4.70867386378384,Adherent,RPMI + 20% FBS,92.8,CVCL_A472,,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),49,,,lung,SCLC,,,
ACH-000528,ABC-1,ABC1,ABC1_LUNG,,906791,Male,HSRRB,3,-5.63656668755574,Adherent,EMEM + 10% FBS,77.5,CVCL_1066,1557,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",47,SIDM00494,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000765,WM-983B,WM983B,WM983B_SKIN,,,Male,Academic lab,2,-4.02981132544662,,RPMI + 10% FBS,86.9,CVCL_6809,,lymph_node,Metastasis,Skin Cancer,Melanoma,,,,skin,melanoma,,,
ACH-000778,HSC-3,HSC3,HSC3_UPPER_AERODIGESTIVE_TRACT,,907061,Male,HSRRB,2,-2.80092292609758,,EMEM + 10% FBS,79.8,CVCL_1288,648,upper_aerodigestive_tract,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,64,SIDM00589,,upper_aerodigestive,upper_aerodigestive_squamous,,,
ACH-001538,KKU-213,KKU213,KKU213_BILIARY_TRACT,KKU-M213,,Male,JCRB,2,-3.75243375239001,Adherent,DMEM + 10% FBS,79.1,CVCL_M261,,biliary_tract,Primary,Bile Duct Cancer,"Cholangiocarcinoma, intrahepatic",58,,,bile_duct,cholangiocarcinoma,intrahepatic,,
ACH-000113,OCI-AML2,OCIAML2,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910947,Male,DSMZ,2,-3.66401568442211,,AlphaMEM + 20% FBS,57.9,CVCL_1619,749,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",65,SIDM00446,,blood,AML,M4,,
ACH-000243,DAN-G,DANG,DANG_PANCREAS,,1290797,Female,DSMZ,4,-4.72454528804913,Adherent,RPMI + 10% FBS,88.5,CVCL_0243,871,pancreas,,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",,SIDM00950,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000477,Malme-3M,MALME3M,MALME3M_SKIN,,,Male,ATCC,2,-3.53307811786709,Mixed adherent and suspension,RPMI + 10% FBS,46.6,CVCL_1438,,lung,Metastasis,Skin Cancer,Melanoma,43,SIDM00011,,skin,melanoma,,,
ACH-000589,NCI-H1437,NCIH1437,NCIH1437_LUNG,,687794,Male,ATCC,3,-4.63413369810151,Adherent,RPMI + 10% FBS,90.8,CVCL_1472,800,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",60,SIDM00734,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000054,HT-1080,HT1080,HT1080_SOFT_TISSUE,,907064,Male,ATCC,2,-3.87193508000369,Adherent,EMEM + 10% FBS,85.9,CVCL_0317,1391,soft_tissue,Metastasis,Sarcoma,Fibrosarcoma,35,SIDM00828,,soft_tissue,fibrosarcoma,,,
ACH-000916,NCI-H1573,NCIH1573,NCIH1573_LUNG,,908472,Female,ATCC,2,-1.3498876132966,Adherent,RPMI + 5% FBS,52,CVCL_1478,372,soft_tissue,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",35,SIDM00749,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-001335,C-4 II,C4II,C4II_CERVIX,,,Female,ATCC,2,-4.37587296640674,Adherent,Waymouth's MB 752/1 + 10% FBS,87.3,CVCL_1095,,cervix,Primary,Cervical Cancer,Carcinoma,41,SIDM00906,,cervix,cervical_carcinoma,,,
ACH-000863,DBTRG-05MG,DBTRG05MG,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,,906835,Female,ATCC,,,,,,CVCL_1169,1784,central_nervous_system,Primary,Brain Cancer,Glioblastoma,59,SIDM00867,,central_nervous_system,glioma,glioblastoma,,
ACH-001341,DoTc2 4510,DOTC24510,DOTC24510_CERVIX,,906843,Female,ATCC,2,-6.12399833067395,Adherent,DMEM + 10% FBS,79.8,CVCL_1181,473,cervix,Primary,Cervical Cancer,Cervical Adenocarcinoma,,SIDM00864,,cervix,cervical_adenocarcinoma,,,
ACH-000882,IGR-1,IGR1,IGR1_SKIN,,907169,Male,DSMZ,2,-4.92603713684835,Adherent,DMEM + 10% FBS,91.4,CVCL_1303,1534,lymph_node,Metastasis,Skin Cancer,Melanoma,42,SIDM01060,,skin,melanoma,,,
ACH-001450,BLUE-1,BLUE1,BLUE1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,2,-3.41457280400762,Suspension,RPMI 1640 + 20% FBS,87,CVCL_1967,,bone_marrow,Primary,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",29,,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,,
ACH-000404,K029AX,K029AX,K029AX_SKIN,,,Unknown,Academic lab,1,-2.86178458354603,,RPMI + 10% FBS,44.8,CVCL_8784,,skin,Primary,Skin Cancer,Melanoma,,,,skin,melanoma,,,
ACH-000986,HT115,HT115,HT115_LARGE_INTESTINE,,907289,Unknown,ECACC,3,-3.69000066774944,Adherent,DMEM + 15% FBS + 2mM Glutamax,70.2,CVCL_2520,2099,Colon,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00534,,colorectal,colorectal_adenocarcinoma,,,
ACH-000337,NCI-H3122,NCIH3122,NCIH3122_LUNG,,1240190,Unknown,Academic lab,2,-2.76584090480424,not found,not found,81.5,CVCL_5160,918,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00137,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000943,RKO,RKO,RKO_LARGE_INTESTINE,,909698,Unknown,ATCC,3,-4.99166411613104,Adherent,MEM + 10% FBS,49.1,CVCL_0504,607,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM01090,,colorectal,colorectal_adenocarcinoma,,MSI,
ACH-001031,CHLA-266,CHLA266,CHLA266_SOFT_TISSUE,,,Female,Children&#39,s Oncology Group,2,-4.18153967741368,Adherent,"IMDM + 20% FBS + 4mM L-glut, 1x ITS",64.2,CVCL_M149,,soft_tissue,,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT),2.5,,,soft_tissue,ATRT,,
ACH-000096,G-401,G401,G401_SOFT_TISSUE,,907299,Male,ATCC,2,-2.40530854707555,Adherent,McCoy's 5A + 10% FBS,38,CVCL_0270,962,kidney,Primary,Rhabdoid,Malignant Rhabdoid Tumor,0.25,SIDM00856,,kidney,malignant_rhabdoid_tumor,,,
ACH-001369,OCI-C5x,OCIC5X,OCIC5X_OVARY,,,Female,Academic lab,2,-2.56700407455396,Adherent,OCMI-L made by UMiami,79.8,CVCL_DH06,,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",,,,ovary,ovary_adenocarcinoma,clear_cell,,
ACH-001610,NP 5,NP5,NP5_CENTRAL_NERVOUS_SYSTEM,,,Male,JCRB,2,-2.17380175723092,Adherent,DMEM + 10% FBS,73.6,CVCL_1R17,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,27,,,central_nervous_system,glioma,glioblastoma,,
ACH-001228,,UPCISCC152,UPCISCC152_UPPER_AERODIGESTIVE_TRACT,"UPCISCC152, UPCI:SCC152",,Male,Academic lab,2,-3.11929041269623,not found,not found,,CVCL_C058,,upper_aerodigestive_tract,,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,SIDM00398,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,
ACH-000296,OUMS-23,OUMS23,OUMS23_LARGE_INTESTINE,,,Male,HSRRB,3,-3.3181929742576,,DMEM + 10% FBS,79.1,CVCL_3088,,pericardial_effusion,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00036,,colorectal,colorectal_adenocarcinoma,,,
ACH-000704,OAW42,OAW42,OAW42_OVARY,,910548,Female,ECACC,,,,,,CVCL_1615,782,ascites,Metastasis,Ovarian Cancer,Carcinoma,,SIDM00480,,ovary,ovary_carcinoma,,,
